,id,text,URL,createdTimestamp,quoteCount,replyCount,retweetCount,favoriteCount,isInReplyTouser_id,userLocation,userFollowersCount,userFriendsCount,lang,isRelated,source,sourceDate,NP,isInReplyTo,user_id
0,5dab73ca11bb5a1f6c86dfbd,Wells Fargo names outsider as new CEO three years after fake accounts scandal https://t.co/WBtIAtX8Gf… https://t.co/X7nri0K57h,https://t.co/WBtIAtX8Gf,2019-09-27 23:51:00,2,0,0,0,,,4018,3918,en,Y,WF,2019-09-27,,0.0,4867857808.0
1,5dab73cb11bb5a1f6c86dfbe,Wells Fargo names outsider as new CEO three years after fake... https://t.co/veyphufgzw,https://t.co/veyphufgzw,2019-09-27 23:47:53,0,0,0,0,,,4,1,en,Y,WF,2019-09-27,,0.0,1.088561978656936e+18
2,5dab73cb11bb5a1f6c86dfbf,"Charles Scharf as CEO Can Revive Wells Fargo. Buy Its Stock Now. https://t.co/7q3CanBgNk 

#Bank,#WellsFargo,#Village",https://t.co/7q3CanBgNk,2019-09-27 23:39:53,0,0,0,0,,"New York, New York ",2045,1023,en,Y,WF,2019-09-27,,0.0,1.1647747518033347e+18
3,5dab73cb11bb5a1f6c86dfc0,"RT @FactsnOpinion1: Wells Fargo Finally Appoints New CEO Who Is A Dimon Protege
https://t.co/cghUhYeY8U

Sound Familiar? Banks Are Saddling…",https://t.co/cghUhYeY8U,2019-09-27 23:39:38,0,0,0,0,,,237,367,en,Y,WF,2019-09-27,,0.0,8.356552395125228e+17
4,5dab73cb11bb5a1f6c86dfc1,Wells Fargo gives new CEO a 40% pay boost to $23 million https://t.co/1Dl0uMQxzV,https://t.co/1Dl0uMQxzV,2019-09-27 23:37:41,0,0,1,0,,"Orange County, CA",212542,2481,en,Y,WF,2019-09-27,,0.0,17820493.0
5,5dab73cb11bb5a1f6c86dfc2,"RT @MelinAnders: A significant pay raise may have helped persuade Charlie Scharf to take on the top job at Wells Fargo &amp; Co.

https://t.co/…",,2019-09-27 23:30:15,0,0,0,0,,Greater NYC Area,20224,8027,en,Y,WF,2019-09-27,,0.0,137036008.0
6,5dab73cb11bb5a1f6c86dfc3,"From stringent federal oversight to a “toxic work culture,” the former BNY Mellon and Visa CEO has his work cut out… https://t.co/jXux8COdR9",https://t.co/jXux8COdR9,2019-09-27 23:30:05,0,0,2,1,,New York,2269489,506,en,Y,WF,2019-09-27,,0.0,25053299.0
7,5dab73cb11bb5a1f6c86dfc4,RT @presstelegram: Wells Fargo gives new CEO a 40% pay boost to $23 million https://t.co/bvgAWK5Hlx,https://t.co/bvgAWK5Hlx,2019-09-27 23:29:09,0,0,0,0,,"Dallas, TX",32020,35264,en,Y,WF,2019-09-27,,0.0,23280370.0
8,5dab73cb11bb5a1f6c86dfc5,Wells Fargo gives new CEO a 40% pay boost to $23 million https://t.co/bvgAWK5Hlx,https://t.co/bvgAWK5Hlx,2019-09-27 23:27:32,1,0,1,3,,"Long Beach, CA",18170,614,en,Y,WF,2019-09-27,,0.0,163633469.0
9,5dab73cb11bb5a1f6c86dfc6,RT @CNBC: Wells Fargo names BNY Mellon's Charles Scharf as CEO https://t.co/yiDh4Uv0wH,https://t.co/yiDh4Uv0wH,2019-09-27 23:26:48,0,0,0,0,,,2659,94,en,Y,WF,2019-09-27,,0.0,1.0994422058597253e+18
10,5dab73cb11bb5a1f6c86dfc7,RT @UPI: Wells Fargo tabs Charles Scharf as new CEO to lead 'transformation' https://t.co/j42TRS9K4Y,https://t.co/j42TRS9K4Y,2019-09-27 23:25:00,0,0,0,0,,,50535,19703,en,Y,WF,2019-09-27,,0.0,119534385.0
11,5dab73cb11bb5a1f6c86dfc8,Wells Fargo gives new CEO a 40% pay boost to $23 million https://t.co/bpds0uVGuU,https://t.co/bpds0uVGuU,2019-09-27 23:24:59,0,0,0,1,,"Pasadena, Calif.",43241,551,en,Y,WF,2019-09-27,,0.0,19415444.0
12,5dab73cb11bb5a1f6c86dfc9,Wells Fargo gives new CEO a 40% pay boost to $23 million https://t.co/wrxnVkXKnK,https://t.co/wrxnVkXKnK,2019-09-27 23:24:59,0,0,0,0,,"Torrance, CA",44459,515,en,Y,WF,2019-09-27,,0.0,357855989.0
13,5dab73cb11bb5a1f6c86dfca,Wells Fargo taps BNY Mellon’s Scharf as new CEO https://t.co/5g8WL1H4eI,https://t.co/5g8WL1H4eI,2019-09-27 23:22:42,0,0,0,0,,Rocky Mountains,814,1071,en,Y,WF,2019-09-27,,0.0,15292846.0
14,5dab73cb11bb5a1f6c86dfcb,Wells Fargo gives new CEO a 40% pay boost to $23 million https://t.co/QbyQ0yCsD6,https://t.co/QbyQ0yCsD6,2019-09-27 23:22:33,1,0,0,1,,"San Bernardino, CA",42925,308,en,Y,WF,2019-09-27,,0.0,36726529.0
15,5dab73cb11bb5a1f6c86dfcc,Wells Fargo Selects Charles Scharf To Make History As The First Female CEO Of Major U.S. Bank https://t.co/P5NKIRoDsO,https://t.co/P5NKIRoDsO,2019-09-27 23:21:08,0,0,0,0,,India,1,0,en,Y,WF,2019-09-27,,0.0,1.1647654631941652e+18
16,5dab73cb11bb5a1f6c86dfcd,W.T.F.? New Wells Fargo CEO Gets a 40% Raise to $23 Million https://t.co/4pUHMH3kB5 via @YouTube,https://t.co/4pUHMH3kB5,2019-09-27 23:19:17,0,0,1,0,,"Redwood City, CA",32,92,en,Y,WF,2019-09-27,,0.0,3067588782.0
17,5dab73cb11bb5a1f6c86dfce,"RT @reym12: From stringent federal oversight to a “toxic work culture,” the former BNY Mellon and Visa CEO has his work cut out for him. @F…",,2019-09-27 23:18:24,0,0,0,0,,New York,2269489,506,en,Y,WF,2019-09-27,,0.0,25053299.0
18,5dab73cc11bb5a1f6c86dfcf,"RT @ThinkAdvisor: Bank of New York Mellon Chairman and CEO Charles Scharf will lead @WellsFargo, effective Oct. 21. https://t.co/NEcnVIm1Z0",https://t.co/NEcnVIm1Z0,2019-09-27 23:15:17,0,0,0,0,,New York,739,634,en,Y,WF,2019-09-27,,0.0,1904565655.0
19,5dab73cc11bb5a1f6c86dfd0,"@WFAssetMgmt Once, the Central banks, FED are exposed any day now, Since REPOS taking place till October mid&lt; 1oo B… https://t.co/Sr5oJxd7Ta",https://t.co/Sr5oJxd7Ta,2019-09-27 23:14:12,0,0,0,0,,,1936,5004,en,N,WF,2019-09-27,,1.0,3078225972.0
20,5dab73cc11bb5a1f6c86dfd1,Wells Fargo taps BNY Mellon’s Scharf as new CEO https://t.co/Zf0RRwV7Hu,https://t.co/Zf0RRwV7Hu,2019-09-27 23:13:06,0,0,0,0,,Rocky Mountains,814,1071,en,Y,WF,2019-09-27,,0.0,15292846.0
21,5dab73cc11bb5a1f6c86dfd2,RT @tommydonothing: Love to do yoga and relax to the sound of Elizabeth Warren yelling at the CEO of Wells Fargo 💕✨🌈 have a blessed day htt…,,2019-09-27 23:11:17,0,0,0,0,,"Washington, USA",18,91,en,N,WF,2019-09-27,,0.0,1.0411658120258396e+18
22,5dab73cc11bb5a1f6c86dfd3,Wells Fargo taps one-time Dimon protégé Scharf to lead turnaround https://t.co/FT4Fw0lV9j https://t.co/d3EmXH507E,https://t.co/FT4Fw0lV9j,2019-09-27 23:09:33,0,0,0,0,,,41,159,en,Y,WF,2019-09-27,,0.0,9.113107943435878e+17
23,5dab73cc11bb5a1f6c86dfd4,Wells Fargo Names Scharf CEO https://t.co/23KZ7uATJN,https://t.co/23KZ7uATJN,2019-09-27 23:07:13,0,0,0,0,,,20,60,en,Y,,2019-09-27,,0.0,1.084615211594797e+18
24,5dab73cc11bb5a1f6c86dfd5,RT @vtg2: Scharf was announced as San Francisco-based Wells Fargo’s new CEO today. He will be based in New York. https://t.co/uRNbUQlKRG,https://t.co/uRNbUQlKRG,2019-09-27 23:06:11,0,0,0,0,,"Omaha, NE",3497,1437,en,Y,WF,2019-09-27,,0.0,140980387.0
25,5dab73cc11bb5a1f6c86dfd6,New Wells Fargo CEO could earn $23 million in 2020. He was a former Bank of N.Y. Mellon top executive. | Local News… https://t.co/Bo8i4pNZtQ,https://t.co/Bo8i4pNZtQ,2019-09-27 23:04:07,0,0,0,0,,USA,5222,5614,en,Y,WF,2019-09-27,,0.0,414010452.0
